id,ground_truth,CNM,Combo,Leiden,Louvain,Paris,RB-C,RB-ER,Significance,Eigenvector,RSC-K,RSC-SSE,RSC-V,Spectral,Deepwalk,Fairwalk,Node2Vec,Infomap,Spinglass,Walktrap,Fluid,Label Propagation,EM,SBM,SBM - Nested
0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,3,2,0,0,2,1,0,18,17
1,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,19,18
2,2,1,1,1,1,1,1,0,0,0,1,1,0,0,5,3,5,0,2,1,0,0,0,17,14
3,3,4,4,4,4,3,4,1,2,5,3,4,2,0,0,7,8,3,3,4,4,3,0,3,3
4,4,3,3,3,3,5,3,2,3,3,5,6,1,0,8,8,0,4,4,3,3,4,0,4,4
5,5,3,5,5,5,4,5,3,1,4,4,5,3,0,7,6,7,5,5,5,5,5,0,5,5
6,6,5,6,7,7,1,7,7,5,0,7,7,5,1,1,0,1,8,6,7,8,7,0,14,13
7,7,3,3,3,3,1,3,6,6,0,8,8,4,0,8,8,0,6,7,6,7,6,0,11,10
8,2,1,1,1,1,1,1,0,0,0,6,1,0,0,5,3,5,0,2,1,0,0,0,17,14
9,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,19,18
10,2,1,1,1,1,1,1,0,0,0,1,1,0,0,5,3,5,0,2,1,0,0,0,17,14
11,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,19,18
12,2,1,1,1,1,1,1,0,0,0,1,1,0,0,5,3,5,0,2,1,0,0,0,17,14
13,2,1,1,1,1,1,1,0,0,0,1,1,0,0,5,3,5,0,2,1,0,0,0,17,14
14,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,3,2,0,0,2,1,0,18,17
15,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,3,2,0,0,2,1,0,18,17
16,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,3,2,0,0,2,1,0,18,17
17,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,19,18
18,2,1,1,1,1,1,1,0,0,0,1,1,0,0,5,3,5,0,2,1,0,0,0,16,14
19,2,1,1,1,1,1,1,0,0,0,1,1,0,0,5,3,5,0,2,1,0,0,0,17,14
20,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,15,15
21,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,3,2,0,0,2,1,0,18,17
22,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,19,18
23,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,19,18
24,5,3,5,5,5,4,5,3,1,4,4,5,3,0,7,6,7,5,5,5,5,5,0,5,5
25,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,15,15
26,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,19,18
27,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,3,2,0,0,2,1,0,18,17
28,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,3,2,0,0,2,1,0,18,17
29,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,15,15
30,2,1,1,1,1,1,1,0,0,0,1,1,0,0,5,3,5,0,2,1,0,0,0,16,14
31,2,1,1,1,1,1,1,0,0,0,1,1,0,0,5,3,5,0,2,1,0,0,0,17,14
32,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,15,15
33,8,1,7,6,6,1,6,0,4,0,6,1,0,0,2,0,2,7,6,1,8,2,0,10,9
34,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,15,15
35,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,15,15
36,1,2,2,2,2,0,2,0,0,1,2,2,0,0,6,2,6,1,1,2,1,2,0,15,15
37,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,3,2,0,0,2,1,0,18,17
38,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,3,2,0,0,2,1,0,9,11
