id,ground_truth,CNM,Combo,Leiden,Louvain,Paris,RB-C,RB-ER,Significance,Eigenvector,RSC-K,RSC-SSE,RSC-V,Spectral,Deepwalk,Fairwalk,Node2Vec,Infomap,Spinglass,Walktrap,Fluid,Label Propagation,EM,SBM,SBM - Nested
0,0,2,2,2,2,1,2,0,0,1,1,2,1,0,5,7,3,2,2,2,1,0,0,17,21
1,1,1,1,1,1,2,1,0,2,0,2,3,0,0,3,5,5,1,1,1,0,0,0,16,18
2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,7,3,2,0,0,0,2,0,0,18,20
3,3,3,5,5,5,5,5,3,4,0,5,5,4,0,6,6,8,5,5,5,5,3,0,5,17
4,4,3,3,3,3,4,3,2,3,1,3,4,2,0,8,8,6,4,3,3,4,2,0,15,12
5,5,4,4,4,4,3,4,1,5,1,4,0,3,1,6,6,7,3,4,4,3,1,0,3,19
6,6,5,6,6,6,0,6,0,6,0,6,6,5,0,0,1,1,6,7,6,3,0,0,9,9
7,7,6,7,7,7,0,7,4,7,0,7,7,6,0,3,1,4,7,6,7,8,0,0,10,13
8,1,1,1,1,1,2,1,0,2,0,2,3,0,0,3,5,5,1,1,1,0,0,0,16,18
9,2,0,0,0,0,0,0,0,1,0,0,1,0,0,7,3,2,0,0,0,2,0,0,18,20
10,1,1,1,1,1,2,1,0,2,0,2,3,0,0,3,5,5,1,1,1,0,0,0,16,18
11,1,1,1,1,1,2,1,0,2,0,2,3,0,0,3,5,5,1,1,1,0,0,0,16,18
12,8,5,6,6,6,2,6,7,8,0,8,8,0,0,3,1,4,8,3,8,3,0,0,9,15
13,4,3,3,3,3,4,3,2,3,0,3,4,2,0,8,8,6,4,3,3,4,2,0,15,12
14,0,2,2,2,2,1,2,0,0,1,1,2,1,0,5,7,3,2,2,2,1,0,0,17,22
15,2,0,0,0,0,0,0,0,1,0,0,1,0,0,7,3,2,0,0,0,2,0,0,18,20
16,2,0,0,0,0,0,0,0,1,0,0,1,0,0,7,3,2,0,0,0,2,0,0,14,16
17,1,1,1,1,1,2,1,0,2,0,2,3,0,0,3,5,5,1,1,1,0,0,0,16,18
18,2,0,0,0,0,0,0,0,1,0,0,1,0,0,7,3,2,0,0,0,2,0,0,18,20
